Iteration,zeta,ESS,mu,gamma,sigma_j,sigma_v,rho,k,v_p,lat_z,lat_v
156,0.584104,2000,0.226,0.6975,0.709,0.085,0.617,0.147,0.465,0.0164702,0.36401
157,0.601975,1796.42,0.2275,0.705,0.7025,0.387,0.5965,0.4525,0.4735,0.0168709,0.363556
158,0.609749,1612.72,0.2295,0.6885,0.711,0.099,0.6005,0.133,0.484,0.0167616,0.363636
159,0.615847,1448.98,0.215,0.694,0.7175,0.37,0.616,0.474,0.4655,0.0168212,0.363742
160,0.621099,1305.01,0.193,0.7,0.7035,0.0825,0.6045,0.132,0.473,0.0163444,0.363831
161,0.625539,1184.31,0.22,0.711,0.7175,0.3635,0.595,0.4405,0.4445,0.016298,0.359957
162,0.629927,1065.05,0.212,0.695,0.713,0.0865,0.6005,0.1305,0.4595,0.0164669,0.359778
163,0.634264,2000,0.1925,0.676,0.6905,0.3015,0.6015,0.3845,0.4355,0.0155397,0.35943
164,0.652122,1797.5,0.194,0.6985,0.718,0.0705,0.5875,0.1125,0.4375,0.0160132,0.359083
165,0.660275,1616.26,0.195,0.701,0.704,0.3155,0.6195,0.371,0.44,0.0162285,0.356609
166,0.666911,1457.14,0.2035,0.6765,0.7085,0.072,0.5725,0.099,0.415,0.015351,0.356662
167,0.672766,1315.81,0.1805,0.712,0.6945,0.2705,0.5945,0.366,0.4375,0.015606,0.355321
168,0.677879,1192.99,0.1665,0.712,0.7035,0.078,0.5885,0.0935,0.4095,0.0154868,0.353272
169,0.682912,1081.55,0.182,0.703,0.712,0.2915,0.583,0.3765,0.4415,0.015394,0.353205
170,0.687866,2000,0.1765,0.7035,0.712,0.056,0.5985,0.0685,0.3875,0.0155828,0.342944
171,0.708594,1797.79,0.1835,0.694,0.7035,0.219,0.5685,0.273,0.4155,0.015457,0.341921
172,0.718839,1609.88,0.181,0.6975,0.7035,0.0465,0.577,0.054,0.3845,0.0150795,0.342348
173,0.726527,1455.96,0.169,0.687,0.7135,0.219,0.574,0.296,0.373,0.0150199,0.341623
174,0.734005,1310.52,0.172,0.6955,0.702,0.0495,0.566,0.062,0.3715,0.0151623,0.344291
175,0.741278,1174.25,0.1635,0.687,0.6885,0.2315,0.5595,0.2815,0.3695,0.0145861,0.340331
176,0.747342,1065.46,0.176,0.7115,0.688,0.0385,0.5535,0.066,0.3845,0.0152715,0.340397
177,0.753263,2000,0.1795,0.702,0.683,0.1555,0.553,0.2205,0.344,0.0151358,0.330977
178,0.776395,1806.87,0.1705,0.6985,0.693,0.0385,0.5435,0.0425,0.349,0.0148974,0.331248
179,0.78775,1623.39,0.178,0.688,0.6845,0.169,0.5445,0.2055,0.36,0.0144338,0.331646
180,0.79687,1457.79,0.1765,0.7175,0.6625,0.036,0.567,0.0365,0.309,0.0143311,0.329464
181,0.804805,1306.8,0.1675,0.7105,0.6685,0.1675,0.544,0.204,0.3185,0.0144536,0.330073
182,0.81243,1170.42,0.1575,0.705,0.7005,0.0345,0.5575,0.044,0.3345,0.0142947,0.32994
183,0.819024,1051.95,0.158,0.693,0.718,0.1585,0.556,0.2115,0.32,0.0148411,0.32856
184,0.825386,2000,0.174,0.7,0.701,0.019,0.551,0.034,0.301,0.0147384,0.319659
185,0.849941,1795.47,0.1675,0.705,0.7095,0.1065,0.5455,0.1525,0.284,0.014404,0.319043
186,0.861665,1606.77,0.1795,0.705,0.716,0.123,0.5375,0.03,0.2925,0.0143444,0.317354
187,0.870311,1454.06,0.1515,0.71,0.693,0.112,0.5215,0.1495,0.2855,0.0143874,0.317209
188,0.878416,1313.99,0.17,0.697,0.703,0.11,0.5395,0.1465,0.279,0.0143808,0.315732
189,0.886015,1185.04,0.1705,0.689,0.7095,0.1145,0.527,0.1415,0.3015,0.0146854,0.317361
190,0.893139,1070.18,0.1575,0.7035,0.7095,0.104,0.509,0.154,0.2865,0.0141689,0.315325
191,0.899818,2000,0.13,0.7105,0.7115,0.086,0.496,0.0245,0.2615,0.0148212,0.310579
192,0.924864,1799.01,0.432,0.7155,0.694,0.084,0.51,0.1045,0.2555,0.0144338,0.30957
193,0.936604,1622.38,0.126,0.7085,0.69,0.0875,0.4985,0.109,0.257,0.0146987,0.309238
194,0.946509,1458.35,0.4325,0.702,0.714,0.0885,0.504,0.111,0.2585,0.0149139,0.309702
195,0.954867,1317.91,0.135,0.706,0.703,0.0975,0.511,0.109,0.2525,0.0141192,0.308811
196,0.962624,1186.87,0.424,0.713,0.705,0.0895,0.4805,0.1095,0.25,0.0143079,0.307924
197,0.969632,1071.25,0.125,0.7125,0.6835,0.0865,0.489,0.1215,0.254,0.0145828,0.307192
198,0.976275,2000,0.444,0.688,0.7085,0.0615,0.493,0.098,0.229,0.0141854,0.304427
199,1,1811.43,0.151,0.684,0.709,0.0645,0.473,0.0865,0.2205,0.0139603,0.304156
